Episode,Reward,Num_Actions
60251,-285.0000000000002,50
60252,-265.0000000000002,50
60253,-270.0000000000002,50
60254,69.8,7
60255,-280.0000000000003,50
60256,-275.0000000000002,50
60257,-280.0000000000003,50
60258,40.800000000000004,12
60259,-285.0000000000002,50
60260,-142.6000000000002,45
60261,-31.799999999999955,24
60262,35.8,12
60263,-280.0000000000003,50
60264,-265.0000000000002,50
60265,-290.0000000000003,50
60266,-275.0000000000002,50
60267,-290.0000000000003,50
60268,-50.80000000000001,29
60269,-280.0000000000002,50
60270,-280.0000000000002,50
60271,-171.8000000000002,49
60272,-280.0000000000002,50
60273,-285.0000000000002,50
60274,-113.40000000000015,41
60275,-275.0000000000002,50
60276,-275.0000000000003,50
60277,-280.0000000000002,50
60278,-285.0000000000003,50
60279,-55.80000000000001,29
60280,-26.999999999999957,23
60281,-126.20000000000014,39
60282,-275.0000000000002,50
60283,-255.00000000000023,50
60284,-295.0000000000002,50
60285,-290.0000000000002,50
60286,-7.399999999999977,21
60287,-265.0000000000002,50
60288,-46.0,28
60289,-58.2,29
60290,-265.0000000000002,50
60291,-275.0000000000003,50
60292,-46.0,28
60293,50.4,10
60294,-275.0000000000002,50
60295,41.00000000000001,13
60296,-280.0000000000002,50
60297,-7.399999999999963,21
60298,-270.0000000000002,50
60299,-280.0000000000002,50
60300,-280.0000000000002,50
60301,-285.0000000000002,50
60302,-280.0000000000002,50
60303,-46.0,28
60304,50.6,11
60305,-280.0000000000002,50
60306,-280.0000000000002,50
60307,21.60000000000001,16
60308,50.6,11
60309,-25.599999999999962,24
60310,45.800000000000004,12
60311,-290.0000000000002,50
60312,-55.00000000000003,33
60313,-265.0000000000002,50
60314,-280.0000000000002,50
60315,-270.0000000000003,50
60316,-275.0000000000002,50
60317,-285.0000000000002,50
60318,-280.0000000000002,50
60319,-265.0000000000002,50
60320,-94.60000000000011,35
60321,14.200000000000017,16
60322,45.60000000000001,11
60323,-280.0000000000002,50
60324,-89.40000000000009,36
60325,-64.40000000000003,30
60326,-290.0000000000002,50
60327,69.8,7
60328,-285.0000000000003,50
60329,-275.0000000000002,50
60330,-109.00000000000011,38
60331,-265.0000000000002,50
60332,-280.0000000000002,50
60333,-280.0000000000002,50
60334,31.400000000000006,15
60335,-142.8000000000002,44
60336,-141.80000000000018,43
60337,-280.0000000000002,50
60338,-96.80000000000008,36
60339,-275.0000000000002,50
60340,-285.0000000000002,50
60341,20.200000000000017,15
60342,-275.0000000000002,50
60343,-290.0000000000003,50
60344,-275.0000000000003,50
60345,-280.0000000000002,50
60346,-280.0000000000002,50
60347,-280.0000000000002,50
60348,-285.0000000000002,50
60349,-275.0000000000002,50
60350,-265.0000000000002,50
60351,-290.0000000000002,50
60352,-56.00000000000003,28
60353,40.80000000000001,12
60354,-290.0000000000003,50
60355,-280.0000000000002,50
60356,-137.80000000000018,44
60357,-290.0000000000003,50
60358,-280.0000000000002,50
60359,46.80000000000001,11
60360,74.6,6
60361,84.19999999999999,4
60362,-280.0000000000002,50
60363,-285.0000000000002,50
60364,-270.0000000000002,50
60365,-280.0000000000002,50
60366,-157.40000000000018,46
60367,74.6,6
60368,74.6,6
60369,-285.0000000000002,50
60370,-24.39999999999995,23
60371,-280.0000000000002,50
60372,-280.0000000000002,50
60373,74.6,6
60374,-43.999999999999986,25
60375,-290.0000000000002,50
60376,-275.0000000000002,50
60377,-280.0000000000002,50
60378,-300.0000000000003,50
60379,-290.0000000000002,50
60380,-118.60000000000016,40
60381,-295.0000000000003,50
60382,-290.0000000000003,50
60383,27.600000000000012,15
60384,13.000000000000018,17
60385,74.6,6
60386,-290.0000000000003,50
60387,-270.0000000000002,50
60388,-270.0000000000002,50
60389,-275.0000000000002,50
60390,13.000000000000032,17
60391,-280.0000000000002,50
60392,-285.0000000000002,50
60393,-7.599999999999966,20
60394,-270.0000000000002,50
60395,-280.0000000000002,50
60396,27.600000000000012,15
60397,-275.0000000000002,50
60398,65.0,8
60399,13.000000000000018,17
60400,-290.0000000000003,50
60401,-111.20000000000012,39
60402,32.400000000000006,14
60403,-290.0000000000003,50
60404,31.200000000000003,14
60405,-161.60000000000022,50
60406,-46.0,28
60407,-285.0000000000003,50
60408,12.80000000000003,16
60409,-159.6000000000002,47
60410,-280.0000000000002,50
60411,-290.0000000000003,50
60412,-5.399999999999963,18
60413,-260.0000000000002,50
60414,-285.0000000000002,50
60415,45.800000000000004,12
60416,-275.0000000000002,50
60417,-280.0000000000002,50
60418,-285.0000000000003,50
60419,-285.0000000000002,50
60420,26.200000000000017,14
60421,-280.0000000000002,50
60422,-1.3999999999999744,20
60423,33.40000000000002,12
60424,-285.0000000000002,50
60425,-280.0000000000003,50
60426,36.20000000000001,14
60427,-285.0000000000002,50
60428,-275.0000000000002,50
60429,40.60000000000001,11
60430,-275.0000000000002,50
60431,-285.0000000000002,50
60432,79.39999999999999,5
60433,-275.0000000000002,50
60434,60.199999999999996,9
60435,-285.0000000000002,50
60436,-57.20000000000002,28
60437,45.800000000000004,12
60438,23.800000000000026,14
60439,-65.20000000000005,32
60440,-275.0000000000002,50
60441,-260.0000000000002,50
60442,-285.0000000000002,50
60443,-37.799999999999955,25
60444,-88.40000000000006,35
60445,50.400000000000006,10
60446,35.80000000000001,12
60447,57.60000000000001,8
60448,-60.80000000000004,29
60449,-104.20000000000013,37
60450,-147.60000000000022,45
60451,-280.0000000000002,50
60452,-131.80000000000013,43
60453,-290.0000000000002,50
60454,2.0000000000000284,18
60455,-280.0000000000003,50
60456,-2.799999999999983,19
60457,41.00000000000001,13
60458,-176.60000000000028,50
60459,-280.0000000000002,50
60460,-135.80000000000018,41
60461,-290.0000000000002,50
60462,-31.799999999999955,24
60463,-147.6000000000002,45
60464,-270.0000000000002,50
60465,-75.40000000000006,31
60466,-290.0000000000003,50
60467,-10.19999999999996,19
60468,-89.8000000000001,34
60469,-275.0000000000002,50
60470,-280.0000000000003,50
60471,-290.0000000000002,50
60472,-285.0000000000002,50
60473,-162.2000000000002,47
60474,-26.799999999999955,24
60475,-280.0000000000002,50
60476,-52.39999999999998,27
60477,-275.0000000000002,50
60478,19.00000000000003,15
60479,-290.0000000000003,50
60480,-290.0000000000003,50
60481,-48.39999999999999,28
60482,-265.0000000000002,50
60483,-74.80000000000007,34
60484,-30.39999999999996,25
60485,-285.0000000000003,50
60486,-275.0000000000002,50
60487,-285.0000000000002,50
60488,60.199999999999996,9
60489,-275.0000000000002,50
60490,-270.0000000000002,50
60491,-280.0000000000003,50
60492,-41.19999999999999,27
60493,-128.20000000000016,42
60494,-280.0000000000002,50
60495,-75.00000000000006,33
60496,-275.0000000000002,50
60497,-57.19999999999999,28
60498,-270.0000000000002,50
60499,-162.0000000000002,48
60500,26.200000000000017,14
60501,-285.0000000000002,50
60502,-290.0000000000003,50
60503,-113.80000000000013,39
60504,-285.0000000000003,50
60505,-290.0000000000003,50
60506,-290.0000000000003,50
60507,39.40000000000002,11
60508,-80.00000000000006,33
60509,-65.00000000000003,33
60510,33.40000000000002,12
60511,67.2,6
60512,-154.0000000000002,44
60513,-280.0000000000002,50
60514,61.2,8
60515,-275.0000000000002,50
60516,-31.599999999999966,25
60517,26.200000000000017,14
60518,-60.80000000000004,29
60519,-275.0000000000002,50
60520,-275.0000000000002,50
60521,26.40000000000002,15
60522,-300.0000000000003,50
60523,-280.0000000000002,50
60524,-51.20000000000002,27
60525,-280.0000000000002,50
60526,-270.0000000000002,50
60527,-275.0000000000002,50
60528,-275.0000000000002,50
60529,-84.8000000000001,34
60530,-270.0000000000002,50
60531,-285.0000000000003,50
60532,-1.599999999999963,19
60533,-285.0000000000002,50
60534,-41.39999999999998,26
60535,55.4,10
60536,55.4,10
60537,-290.0000000000002,50
60538,-174.00000000000023,50
60539,-285.0000000000002,50
60540,-285.0000000000002,50
60541,69.8,7
60542,55.4,10
60543,-290.0000000000002,50
60544,-290.0000000000002,50
60545,57.60000000000001,8
60546,2.2000000000000313,19
60547,55.4,10
60548,-275.0000000000002,50
60549,-295.0000000000003,50
60550,69.8,7
60551,-280.0000000000003,50
60552,-285.0000000000003,50
60553,-275.0000000000003,50
60554,2.40000000000002,20
60555,-260.0000000000002,50
60556,-275.0000000000002,50
60557,-285.0000000000002,50
60558,84.19999999999999,4
60559,-104.00000000000011,38
60560,-4.799999999999969,21
60561,-12.199999999999974,22
60562,69.8,7
60563,45.800000000000004,12
60564,-285.0000000000003,50
60565,69.8,7
60566,69.8,7
60567,-26.79999999999997,24
60568,-280.0000000000002,50
60569,-142.2000000000002,47
60570,-55.400000000000034,31
60571,36.20000000000001,14
60572,-270.0000000000002,50
60573,21.60000000000001,16
60574,26.200000000000017,14
60575,-5.19999999999996,19
60576,84.19999999999999,4
60577,-280.0000000000002,50
60578,-9.999999999999957,20
60579,-290.0000000000003,50
60580,-280.0000000000002,50
60581,-290.0000000000002,50
60582,-290.0000000000002,50
60583,-280.0000000000002,50
60584,-280.0000000000002,50
60585,-123.40000000000015,41
60586,-280.0000000000003,50
60587,-280.0000000000002,50
60588,-280.0000000000002,50
60589,-280.0000000000002,50
60590,-280.0000000000003,50
60591,55.4,10
60592,-280.0000000000003,50
60593,-156.80000000000027,49
60594,60.199999999999996,9
60595,-280.0000000000002,50
60596,-78.80000000000007,33
60597,26.400000000000006,15
60598,57.60000000000001,8
60599,79.39999999999999,5
60600,51.60000000000001,10
60601,-285.0000000000003,50
60602,22.600000000000026,15
60603,79.39999999999999,5
60604,-285.0000000000002,50
60605,-290.0000000000003,50
60606,-285.0000000000002,50
60607,-280.0000000000003,50
60608,-152.20000000000022,47
60609,-280.0000000000003,50
60610,-290.0000000000002,50
60611,-290.0000000000003,50
60612,-265.0000000000002,50
60613,-275.0000000000002,50
60614,-280.0000000000002,50
60615,-285.0000000000002,50
60616,74.6,6
60617,-270.0000000000002,50
60618,-275.0000000000002,50
60619,74.6,6
60620,-37.99999999999997,24
60621,-275.0000000000002,50
60622,74.6,6
60623,-280.0000000000003,50
60624,-290.0000000000002,50
60625,-280.0000000000002,50
60626,-270.0000000000002,50
60627,-275.0000000000002,50
60628,-7.599999999999966,20
60629,-270.0000000000002,50
60630,-36.39999999999998,26
60631,-285.0000000000002,50
60632,55.2,9
60633,-285.0000000000002,50
60634,-290.0000000000003,50
60635,-285.0000000000003,50
60636,-290.0000000000003,50
60637,-285.0000000000003,50
60638,-290.0000000000003,50
60639,-280.0000000000002,50
60640,60.199999999999996,9
60641,-270.0000000000002,50
60642,-280.0000000000003,50
60643,-108.80000000000015,39
60644,3.200000000000034,18
60645,-137.6000000000002,45
60646,-275.0000000000002,50
60647,60.199999999999996,9
60648,-275.0000000000002,50
60649,-285.0000000000003,50
60650,-285.0000000000002,50
60651,-280.0000000000002,50
60652,-285.0000000000002,50
60653,-285.0000000000003,50
60654,-285.0000000000002,50
60655,-275.0000000000002,50
60656,65.0,8
60657,13.20000000000002,18
60658,-119.60000000000014,41
60659,-69.00000000000003,32
60660,-114.80000000000013,40
60661,-7.599999999999966,20
60662,50.6,11
60663,-285.0000000000002,50
60664,-265.0000000000002,50
60665,36.0,13
60666,79.39999999999999,5
60667,-173.0000000000002,49
60668,-120.20000000000013,38
60669,-290.0000000000002,50
60670,-280.0000000000002,50
60671,-290.0000000000002,50
60672,-285.0000000000003,50
60673,-285.0000000000002,50
60674,-147.20000000000022,47
60675,3.200000000000034,18
60676,-55.80000000000001,29
60677,-285.0000000000003,50
60678,-280.0000000000002,50
60679,-285.0000000000003,50
60680,-285.0000000000002,50
60681,-16.799999999999955,24
60682,60.199999999999996,9
60683,-123.60000000000016,40
60684,-290.0000000000003,50
60685,-265.0000000000002,50
60686,9.40000000000002,17
60687,-290.0000000000003,50
60688,-275.0000000000003,50
60689,-290.0000000000003,50
60690,-265.0000000000002,50
60691,2.40000000000002,20
60692,-280.0000000000003,50
60693,-290.0000000000002,50
60694,26.200000000000017,14
60695,57.60000000000001,8
60696,-13.799999999999955,20
60697,-270.0000000000002,50
60698,60.199999999999996,9
60699,-265.0000000000002,50
60700,-285.0000000000002,50
60701,-85.00000000000009,33
60702,20.200000000000017,15
60703,-103.80000000000013,39
60704,-275.0000000000002,50
60705,-280.0000000000003,50
60706,-280.0000000000002,50
60707,-152.20000000000022,47
60708,-280.0000000000003,50
60709,-152.6000000000002,45
60710,-275.0000000000002,50
60711,-280.0000000000002,50
60712,-17.199999999999974,22
60713,-285.0000000000003,50
60714,-290.0000000000002,50
60715,-275.0000000000002,50
60716,-156.60000000000025,50
60717,60.199999999999996,9
60718,-285.0000000000002,50
60719,-280.0000000000002,50
60720,36.20000000000001,14
60721,26.400000000000006,15
60722,-285.0000000000002,50
60723,36.20000000000001,14
60724,-275.0000000000002,50
60725,40.800000000000004,12
60726,-265.0000000000002,50
60727,-290.0000000000002,50
60728,79.39999999999999,5
60729,-270.0000000000002,50
60730,-270.0000000000002,50
60731,-118.80000000000015,39
60732,-270.0000000000002,50
60733,-1.599999999999963,19
60734,-295.0000000000002,50
60735,-280.0000000000002,50
60736,-260.0000000000002,50
60737,-285.0000000000002,50
60738,60.199999999999996,9
60739,-275.0000000000003,50
60740,60.199999999999996,9
60741,33.40000000000002,12
60742,-280.0000000000003,50
60743,-10.999999999999968,22
60744,61.2,8
60745,48.00000000000001,10
60746,-270.0000000000002,50
60747,66.0,7
60748,-280.0000000000002,50
60749,29.800000000000026,13
60750,-295.0000000000003,50
60751,-280.0000000000002,50
60752,-290.0000000000003,50
60753,-290.0000000000003,50
60754,-295.0000000000003,50
60755,-285.0000000000003,50
60756,-285.0000000000003,50
60757,-28.19999999999996,23
60758,60.199999999999996,9
60759,65.0,8
60760,-290.0000000000002,50
60761,-285.0000000000002,50
60762,-270.0000000000002,50
60763,-275.0000000000002,50
60764,-270.0000000000002,50
60765,-280.0000000000003,50
60766,31.200000000000003,14
60767,-45.80000000000001,29
60768,-275.0000000000002,50
60769,-275.0000000000002,50
60770,-285.0000000000003,50
60771,45.800000000000004,12
60772,-280.0000000000002,50
60773,65.0,8
60774,-285.0000000000002,50
60775,-133.60000000000016,40
60776,-20.799999999999965,23
60777,-295.0000000000003,50
60778,-68.00000000000004,30
60779,40.80000000000001,12
60780,26.60000000000001,16
60781,65.0,8
60782,-31.599999999999966,25
60783,43.2,11
60784,-285.0000000000002,50
60785,-275.0000000000002,50
60786,-295.0000000000002,50
60787,40.80000000000001,12
60788,51.60000000000001,10
60789,-290.0000000000003,50
60790,-270.0000000000002,50
60791,-280.0000000000002,50
60792,-275.0000000000002,50
60793,65.0,8
60794,36.0,13
60795,-270.0000000000002,50
60796,-285.0000000000002,50
60797,37.2,13
60798,44.20000000000001,10
60799,-56.00000000000003,28
60800,-113.60000000000014,40
60801,-285.0000000000002,50
60802,-36.79999999999998,24
60803,-275.0000000000002,50
60804,-275.0000000000002,50
60805,-280.0000000000003,50
60806,16.600000000000023,16
60807,-285.0000000000003,50
60808,61.2,8
60809,-275.0000000000002,50
60810,-45.0,27
60811,-13.399999999999963,22
60812,-109.00000000000014,38
60813,31.0,13
60814,31.000000000000014,13
60815,-285.0000000000003,50
60816,21.60000000000001,16
60817,-35.19999999999996,26
60818,-33.79999999999997,26
60819,51.60000000000001,10
60820,79.39999999999999,5
60821,-94.60000000000011,35
60822,-285.0000000000003,50
60823,-285.0000000000002,50
60824,-290.0000000000003,50
60825,51.60000000000001,10
60826,57.60000000000001,8
60827,-275.0000000000003,50
60828,50.6,11
60829,-270.0000000000002,50
60830,-280.0000000000002,50
60831,-290.0000000000002,50
60832,-265.0000000000002,50
60833,45.800000000000004,12
60834,-147.4000000000002,46
60835,-89.40000000000009,36
60836,-280.0000000000002,50
60837,-285.0000000000002,50
60838,61.2,8
60839,-285.0000000000002,50
60840,-295.0000000000003,50
60841,61.2,8
60842,-78.00000000000004,30
60843,-74.80000000000004,34
60844,-275.0000000000002,50
60845,-275.0000000000002,50
60846,-280.0000000000002,50
60847,-280.0000000000002,50
60848,-290.0000000000002,50
60849,-64.20000000000002,31
60850,79.39999999999999,5
60851,-290.0000000000002,50
60852,-285.0000000000002,50
60853,-295.0000000000003,50
60854,-31.799999999999955,24
60855,-12.399999999999963,21
60856,5.600000000000037,17
60857,-290.0000000000003,50
60858,-147.0000000000002,48
60859,-169.20000000000027,49
60860,-104.2000000000001,37
60861,59.99999999999999,8
60862,-290.0000000000002,50
60863,-280.0000000000002,50
60864,-41.19999999999999,27
60865,8.200000000000035,18
60866,-275.0000000000002,50
60867,-36.39999999999998,26
60868,-285.0000000000003,50
60869,-71.60000000000005,31
60870,-295.0000000000003,50
60871,-290.0000000000002,50
60872,51.60000000000001,10
60873,31.200000000000017,14
60874,-265.0000000000002,50
60875,-31.799999999999955,24
60876,-87.20000000000006,34
60877,-285.0000000000002,50
60878,45.60000000000001,11
60879,-285.0000000000002,50
60880,-115.00000000000011,39
60881,-55.60000000000002,30
60882,-275.0000000000002,50
60883,-280.0000000000002,50
60884,26.60000000000001,16
60885,-285.0000000000002,50
60886,-285.0000000000003,50
60887,-275.0000000000002,50
60888,65.0,8
60889,-275.0000000000002,50
60890,-270.0000000000002,50
60891,-7.399999999999963,21
60892,-275.0000000000002,50
60893,-290.0000000000002,50
60894,31.400000000000006,15
